traveler_id	reservation_id	reservation_date	package_type	departure_date	departure_code	arrival_code	arrival_country	return_date	carrier_id	no_of_adults	no_of_kids
8313732	4749f006265173cc43995a40cdaa81873a40d7b6c4c4a6b26986047abe9d17cf	2018-02-01	STP	2018-07-18	CPH	BOJ	Bulgaria	2018-07-25	246	1	2
8046981	4e4e120c1d260b6e38747e71ac5a6ccb4b04d6d5f38293e0a6826d7caf7077db	2017-08-26	STP	2018-08-22	CPH	BOJ	Bulgaria	2018-09-05	246	1	1
8124063	318784895cc1f68135b0e6e018c60960a7da69e1425ea1f8cad036e0d6bcdc33	2017-09-29	STP	2018-06-12	HEL	CFU	Greece	2018-06-19	246	3	2
7961290	7f9e90e12acb4dbf7f3ad646e56eba4a1b01af1f057d9e20d067b66986e0448e	2017-07-14	STP	2017-08-14	ARN	AYT	Turkey	2017-08-21	246	2	3
8715812	15db0b73439349e438ebf693bde13c0c4ccb8489124563ad7c7a68bd62bd9052	2018-08-04	SOB	2018-10-23	OSL	RHO	Greece	2018-11-06	246	2	0
8083559	10f0abd969240c0d1c2f0156677d1a355bc9084e504de261bc5902620997fe74	2017-09-12	STP	2018-09-23	ARN	LCA	Cyprus	2018-09-30	997	2	0
8669323	80b180524eec5bf3514ea62d1d08ba813bd58beba3cea763e1bf8f930e603c91	2018-07-13	STP	2018-10-21	ARN	LCA	Cyprus	2018-10-28	997	3	0
7986380	58be69b9a769e64e3c74938965ae91db9525ddbe352b08b7202b60865f29ea16	2017-07-25	STP	2017-09-02	CPH	CHQ	Greece	2017-09-16	246	3	0
8312599	7a2a29eaeab1a1445280cd0dabb0896f84f4f7a8081e8e8415e526736249bd6c	2018-02-01	STP	2018-06-10	CPH	KGS	Greece	2018-06-17	246	2	2
8508730	c9f7ec309237e14c6632c25724dba207d3a908cc1597584c61d9d35470ec7c33	2018-04-18	STP	2018-09-01	ARN	MAH	Spain	2018-09-15	997	2	2
7501290	6742114545b0ff2ab847ae06e5773556102b0c60ce84c5fd1b2de249df80f492	2016-11-03	STP	2017-06-16	CPH	AHO	Italy	2017-06-23	246	2	0
8344992	19a4f568a52f063e89b6e0fe768cf4d1509f28f67f761238bdf4f981b9d24231	2018-02-11	STP	2018-07-21	GOT	MAH	Spain	2018-07-28	246	2	2
8593780	c41a8de705c1dacbaf2aeda32dbcddaa2d1ac7a7d8012543b93b9648b9475c6f	2017-07-05	SOB	2017-07-13	HEL	CTA	Italy	2017-07-20	246	2	1
5237901	ce9a5acd6e83ad8822f6a91a79134bbce78ba84318fc423c3444a63a67d5da7c	2017-07-13	STP	2017-07-31	GOT	RHO	Greece	2017-08-07	246	2	0
7911886	74b813e51070f6a09fabfe23590759ca43b7925db9d9571f71dfd0a45be9c168	2017-06-21	STP	2017-08-10	HEL	CTA	Italy	2017-08-17	246	2	2
8558581	87a739fee24346cb78929173e9773fc9db37bef7dd4aa352b4e6b32751b4c09e	2017-08-27	STP	2017-10-08	HEL	SPU	Croatia	2017-10-15	246	2	0
7645594	b7487a75ac4b325f6c04206a247816789977a5e44b3c46c6c611b294a73abd8c	2017-02-08	STP	2017-08-22	OSL	RHO	Greece	2017-08-29	246	2	2
